pattern,support,sequences
[42],3,"[0, 1, 7]"
[38],3,"[1, 4, 7]"
"[35, 15]",3,"[1, 2, 4]"
"[15, 35]",3,"[1, 2, 9]"
"[20, 29]",3,"[1, 4, 7]"
"[29, 18]",3,"[1, 8, 9]"
"[14, 33]",4,"[2, 7, 8, 9]"
"[33, 14]",3,"[0, 7, 9]"
"[33, 9]",3,"[2, 3, 8]"
"[24, 17]",3,"[1, 8, 9]"
"[18, 20]",4,"[1, 3, 5, 9]"
"[18, 19]",3,"[0, 1, 2]"
"[24, 13]",5,"[1, 4, 5, 8, 9]"
"[12, 24]",3,"[5, 6, 7]"
"[1, 34]",3,"[1, 7, 9]"
"[20, 12]",3,"[4, 5, 8]"
"[14, 17]",3,"[0, 4, 5]"
"[24, 7]",3,"[5, 6, 9]"
"[12, 19]",3,"[3, 4, 5]"
"[5, 24]",3,"[0, 5, 9]"
"[12, 17]",3,"[5, 8, 9]"
"[24, 5]",5,"[0, 4, 5, 8, 9]"
"[4, 25]",4,"[3, 4, 6, 8]"
"[22, 6]",3,"[1, 4, 8]"
"[14, 13]",3,"[2, 4, 9]"
"[25, 2]",5,"[0, 2, 3, 4, 7]"
"[10, 17]",3,"[0, 1, 8]"
"[8, 18]",3,"[1, 5, 9]"
"[5, 14]",3,"[0, 4, 5]"
"[17, 2]",3,"[0, 6, 8]"
"[14, 3]",3,"[0, 3, 6]"
"[15, 2]",3,"[2, 7, 9]"
"[1, 14]",4,"[4, 7, 8, 9]"
"[7, 8]",4,"[0, 1, 4, 5]"
"[20, 16, 31]",3,"[1, 3, 9]"
"[14, 34, 16]",3,"[1, 5, 8]"
"[21, 16, 27]",4,"[4, 5, 7, 8]"
"[19, 16, 27]",3,"[1, 4, 8]"
"[31, 15, 14]",3,"[2, 7, 9]"
"[15, 29, 15]",3,"[1, 7, 9]"
"[16, 27, 16]",3,"[1, 4, 8]"
"[26, 14, 19]",3,"[0, 5, 7]"
"[3, 26, 27]",3,"[0, 4, 8]"
"[16, 21, 18]",3,"[4, 8, 9]"
"[18, 16, 21]",3,"[1, 4, 5]"
"[15, 14, 26]",3,"[4, 7, 8]"
"[18, 21, 16]",3,"[1, 7, 8]"
"[20, 15, 20]",3,"[1, 4, 5]"
"[19, 20, 16]",4,"[1, 2, 6, 7]"
"[21, 14, 19]",3,"[0, 7, 9]"
"[20, 16, 18]",3,"[1, 2, 4]"
"[18, 16, 20]",3,"[5, 6, 7]"
"[14, 26, 14]",3,"[0, 5, 8]"
"[14, 19, 21]",3,"[4, 7, 9]"
"[19, 14, 20]",3,"[3, 4, 9]"
"[18, 14, 19]",3,"[4, 5, 9]"
"[20, 16, 15]",3,"[1, 4, 7]"
"[16, 18, 16]",3,"[4, 5, 9]"
"[14, 20, 16]",3,"[1, 4, 8]"
"[15, 21, 14]",3,"[0, 1, 9]"
"[14, 20, 15]",3,"[4, 5, 9]"
"[15, 20, 14]",4,"[1, 4, 5, 7]"
"[14, 19, 16]",4,"[0, 4, 8, 9]"
"[8, 28, 11]",3,"[1, 4, 5]"
"[11, 20, 16]",4,"[2, 4, 5, 9]"
"[15, 18, 14]",3,"[2, 4, 5]"
"[18, 14, 15]",3,"[2, 7, 8]"
"[12, 11, 22]",3,"[0, 4, 5]"
"[8, 16, 21]",3,"[2, 4, 8]"
"[12, 22, 11]",4,"[2, 3, 5, 9]"
"[3, 17, 24]",3,"[0, 4, 6]"
"[3, 25, 15]",3,"[1, 7, 8]"
"[0, 23, 20]",3,"[1, 5, 7]"
"[9, 11, 22]",4,"[1, 2, 4, 5]"
"[16, 20, 6]",4,"[1, 4, 6, 8]"
"[16, 21, 4]",3,"[5, 8, 9]"
"[14, 15, 12]",3,"[3, 4, 7]"
"[11, 6, 24]",3,"[4, 5, 8]"
"[18, 15, 7]",3,"[5, 6, 7]"
"[11, 6, 23]",3,"[3, 4, 6]"
"[15, 18, 7]",3,"[0, 3, 8]"
"[12, 11, 17]",5,"[0, 4, 5, 6, 8]"
"[4, 23, 12]",3,"[4, 5, 6]"
"[19, 14, 6]",3,"[4, 8, 9]"
"[23, 12, 4]",3,"[1, 5, 6]"
"[26, 5, 8]",3,"[0, 6, 7]"
"[6, 18, 15]",3,"[5, 6, 9]"
"[18, 15, 5]",3,"[4, 7, 9]"
"[0, 14, 24]",4,"[4, 5, 8, 9]"
"[11, 22, 4]",5,"[2, 4, 5, 8, 9]"
"[19, 18, 0]",3,"[0, 5, 9]"
"[14, 15, 8]",3,"[3, 4, 5]"
"[15, 14, 8]",5,"[1, 4, 5, 6, 9]"
"[15, 18, 4]",5,"[0, 1, 7, 8, 9]"
"[7, 14, 15]",3,"[0, 1, 6]"
"[1, 23, 12]",3,"[1, 5, 6]"
"[14, 15, 7]",4,"[1, 6, 7, 9]"
"[15, 18, 3]",3,"[3, 4, 7]"
"[3, 15, 18]",3,"[3, 4, 7]"
"[21, 14, 0]",3,"[1, 4, 9]"
"[11, 6, 18]",3,"[5, 8, 9]"
"[8, 19, 8]",4,"[0, 3, 4, 7]"
"[23, 12, 0]",3,"[0, 5, 8]"
"[16, 6, 13]",3,"[4, 5, 8]"
"[2, 14, 19]",4,"[1, 2, 4, 7]"
"[17, 12, 6]",4,"[0, 6, 8, 9]"
"[2, 12, 20]",3,"[1, 4, 5]"
"[17, 11, 6]",4,"[0, 2, 4, 8]"
"[3, 16, 15]",4,"[4, 6, 7, 9]"
"[23, 4, 7]",3,"[1, 7, 9]"
"[16, 15, 3]",3,"[1, 4, 7]"
"[2, 11, 20]",4,"[0, 4, 7, 9]"
"[3, 25, 5]",4,"[5, 6, 7, 9]"
"[6, 23, 4]",3,"[1, 3, 4]"
"[15, 18, 0]",5,"[2, 3, 4, 7, 9]"
"[8, 17, 8]",3,"[3, 5, 9]"
"[20, 6, 7]",3,"[1, 7, 8]"
"[3, 17, 12]",3,"[5, 8, 9]"
"[4, 11, 17]",3,"[0, 4, 8]"
"[23, 4, 5]",3,"[3, 4, 8]"
"[12, 6, 14]",3,"[4, 6, 8]"
"[0, 12, 20]",3,"[4, 5, 9]"
"[2, 6, 24]",4,"[1, 4, 8, 9]"
"[2, 14, 15]",4,"[1, 3, 4, 7]"
"[15, 12, 4]",3,"[3, 5, 7]"
"[14, 7, 10]",3,"[1, 6, 8]"
"[13, 17, 1]",3,"[0, 8, 9]"
"[7, 1, 23]",3,"[0, 1, 4]"
"[11, 9, 10]",4,"[0, 1, 5, 8]"
"[8, 3, 19]",3,"[0, 2, 9]"
"[10, 6, 14]",4,"[0, 5, 8, 9]"
"[3, 8, 19]",5,"[1, 2, 4, 5, 7]"
"[3, 19, 8]",3,"[3, 8, 9]"
"[19, 8, 3]",6,"[0, 3, 5, 7, 8, 9]"
"[16, 6, 7]",3,"[4, 6, 8]"
"[9, 11, 9]",3,"[0, 4, 8]"
"[4, 23, 2]",5,"[0, 1, 4, 7, 8]"
"[19, 2, 8]",3,"[0, 2, 9]"
"[11, 12, 6]",3,"[0, 1, 8]"
"[8, 3, 17]",3,"[6, 8, 9]"
"[17, 8, 3]",3,"[3, 8, 9]"
"[20, 6, 2]",3,"[1, 3, 8]"
"[5, 12, 11]",3,"[4, 5, 8]"
"[6, 13, 9]",3,"[1, 5, 8]"
"[12, 6, 9]",3,"[1, 5, 8]"
"[13, 5, 9]",3,"[5, 8, 9]"
"[2, 8, 17]",3,"[0, 5, 6]"
"[6, 7, 14]",3,"[2, 4, 9]"
"[11, 4, 12]",4,"[0, 2, 4, 5]"
"[18, 4, 5]",3,"[0, 8, 9]"
"[6, 2, 19]",3,"[2, 3, 4]"
"[18, 8, 0]",3,"[1, 2, 4]"
"[18, 0, 8]",3,"[4, 7, 9]"
"[5, 11, 10]",3,"[0, 5, 8]"
"[5, 3, 18]",3,"[5, 7, 8]"
"[12, 4, 10]",3,"[0, 4, 5]"
"[0, 17, 9]",3,"[0, 7, 9]"
"[3, 18, 4]",3,"[0, 6, 9]"
"[4, 3, 18]",3,"[1, 4, 9]"
"[17, 1, 7]",3,"[0, 5, 6]"
"[3, 19, 3]",3,"[0, 5, 7]"
"[12, 0, 12]",3,"[0, 4, 5]"
"[1, 12, 11]",4,"[3, 5, 6, 8]"
"[10, 4, 10]",3,"[4, 5, 6]"
"[17, 1, 6]",3,"[5, 8, 9]"
"[4, 8, 12]",5,"[0, 1, 4, 5, 8]"
"[6, 18, 0]",3,"[4, 8, 9]"
"[3, 19, 2]",4,"[2, 3, 4, 9]"
"[18, 4, 1]",5,"[0, 6, 7, 8, 9]"
"[15, 8, 0]",3,"[4, 5, 9]"
"[2, 1, 20]",3,"[0, 8, 9]"
"[15, 3, 5]",4,"[1, 4, 5, 7]"
"[2, 11, 9]",4,"[1, 4, 8, 9]"
"[2, 14, 6]",3,"[2, 4, 9]"
"[19, 3, 0]",4,"[1, 2, 5, 7]"
"[1, 11, 10]",3,"[0, 5, 7]"
"[17, 0, 5]",4,"[0, 4, 6, 8]"
"[12, 4, 6]",4,"[0, 1, 4, 5]"
"[1, 7, 14]",5,"[0, 1, 4, 6, 7]"
"[1, 2, 19]",3,"[2, 4, 5]"
"[3, 9, 10]",3,"[0, 3, 4]"
"[15, 7, 0]",4,"[1, 5, 7, 9]"
"[13, 3, 6]",3,"[4, 5, 7]"
"[3, 18, 0]",3,"[5, 7, 8]"
"[18, 0, 3]",4,"[3, 5, 7, 9]"
"[8, 6, 7]",3,"[2, 8, 9]"
"[7, 14, 0]",3,"[1, 2, 7]"
"[14, 7, 0]",4,"[1, 4, 7, 8]"
"[7, 0, 14]",6,"[1, 3, 5, 7, 8, 9]"
"[9, 8, 3]",3,"[2, 4, 5]"
"[2, 0, 18]",3,"[2, 4, 5]"
"[12, 0, 8]",4,"[1, 2, 3, 5]"
"[14, 6, 0]",3,"[1, 2, 9]"
"[18, 0, 2]",3,"[2, 3, 8]"
"[5, 0, 14]",3,"[0, 3, 4]"
"[18, 0, 1]",4,"[4, 7, 8, 9]"
"[0, 8, 11]",3,"[3, 5, 9]"
"[7, 1, 11]",4,"[0, 1, 5, 7]"
"[14, 0, 5]",5,"[0, 4, 5, 7, 9]"
"[7, 4, 8]",3,"[2, 4, 6]"
"[16, 3, 0]",5,"[1, 4, 5, 6, 8]"
"[1, 11, 6]",3,"[0, 1, 2]"
"[0, 2, 16]",5,"[1, 2, 3, 4, 8]"
"[5, 1, 12]",3,"[4, 6, 9]"
"[7, 0, 11]",4,"[0, 6, 8, 9]"
"[4, 0, 14]",4,"[2, 4, 8, 9]"
"[0, 3, 15]",3,"[2, 4, 7]"
"[12, 4, 2]",4,"[1, 4, 6, 8]"
"[3, 5, 10]",4,"[0, 2, 5, 8]"
"[1, 2, 14]",4,"[2, 5, 7, 9]"
"[4, 6, 7]",3,"[4, 5, 6]"
"[1, 5, 11]",3,"[0, 6, 9]"
"[9, 8, 0]",3,"[4, 5, 7]"
"[5, 2, 10]",3,"[4, 5, 7]"
"[4, 7, 5]",3,"[1, 4, 5]"
"[0, 2, 14]",4,"[1, 2, 4, 7]"
"[9, 0, 7]",3,"[0, 1, 5]"
"[0, 14, 2]",4,"[0, 3, 5, 7]"
"[2, 8, 6]",3,"[3, 4, 5]"
