pattern,support,sequences
"[36, 36, 36, 36, 36]",4,"[0, 1, 8, 9]"
"[35, 35, 35, 35, 35]",6,"[0, 1, 4, 7, 8, 9]"
"[34, 34, 34, 34, 34]",3,"[0, 8, 9]"
"[33, 33, 33, 33, 33]",4,"[0, 1, 4, 9]"
"[32, 32, 32, 32, 32]",5,"[1, 4, 5, 8, 9]"
"[31, 31, 31, 31, 31]",7,"[0, 1, 4, 5, 7, 8, 9]"
"[30, 30, 30, 30, 30]",6,"[1, 3, 4, 5, 7, 8]"
"[29, 29, 29, 29, 29]",7,"[0, 1, 3, 4, 5, 7, 9]"
"[16, 31, 31, 31, 31]",3,"[4, 5, 7]"
"[31, 31, 31, 31, 16]",3,"[7, 8, 9]"
"[28, 28, 28, 28, 28]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[27, 27, 27, 27, 27]",8,"[0, 1, 2, 4, 5, 7, 8, 9]"
"[29, 29, 29, 29, 15]",4,"[0, 1, 7, 9]"
"[26, 26, 26, 26, 26]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[28, 28, 28, 28, 15]",4,"[0, 1, 7, 9]"
"[16, 16, 31, 31, 31]",3,"[4, 5, 7]"
"[25, 25, 25, 25, 25]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[31, 31, 31, 16, 16]",3,"[7, 8, 9]"
"[16, 27, 27, 27, 27]",3,"[4, 5, 8]"
"[27, 27, 27, 27, 15]",5,"[2, 4, 5, 7, 9]"
"[15, 27, 27, 27, 27]",3,"[2, 7, 9]"
"[24, 24, 24, 24, 24]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[8, 28, 28, 28, 28]",3,"[4, 5, 9]"
"[26, 26, 26, 26, 14]",5,"[0, 1, 5, 7, 8]"
"[14, 26, 26, 26, 26]",4,"[0, 4, 5, 8]"
"[29, 29, 29, 15, 15]",4,"[0, 1, 7, 9]"
"[25, 25, 25, 25, 15]",3,"[1, 2, 8]"
"[23, 23, 23, 23, 23]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[28, 28, 28, 15, 15]",4,"[0, 1, 7, 9]"
"[17, 24, 24, 24, 24]",4,"[0, 4, 8, 9]"
"[24, 24, 24, 24, 17]",3,"[1, 8, 9]"
"[16, 16, 27, 27, 27]",3,"[4, 5, 8]"
"[15, 15, 27, 27, 27]",3,"[2, 7, 9]"
"[27, 27, 27, 15, 15]",5,"[2, 4, 5, 7, 9]"
"[22, 22, 22, 22, 22]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[31, 31, 16, 16, 16]",3,"[7, 8, 9]"
"[14, 24, 24, 24, 24]",4,"[4, 5, 8, 9]"
"[16, 16, 16, 31, 31]",3,"[4, 5, 7]"
"[24, 24, 24, 24, 13]",5,"[1, 4, 5, 8, 9]"
"[26, 26, 26, 26, 3]",3,"[0, 5, 9]"
"[11, 24, 24, 24, 24]",4,"[2, 3, 4, 8]"
"[3, 26, 26, 26, 26]",3,"[0, 8, 9]"
"[26, 26, 26, 14, 14]",5,"[0, 1, 5, 7, 8]"
"[17, 17, 24, 24, 24]",4,"[0, 4, 8, 9]"
"[14, 14, 26, 26, 26]",4,"[0, 4, 5, 8]"
"[24, 24, 24, 17, 17]",3,"[1, 8, 9]"
"[21, 21, 21, 21, 21]",7,"[0, 1, 3, 4, 5, 6, 9]"
"[25, 25, 25, 25, 5]",3,"[5, 7, 9]"
"[23, 23, 23, 23, 13]",3,"[3, 4, 6]"
"[25, 25, 25, 15, 15]",3,"[1, 2, 8]"
"[23, 23, 23, 23, 12]",5,"[0, 1, 4, 5, 7]"
"[29, 29, 15, 15, 15]",4,"[0, 1, 7, 9]"
"[3, 25, 25, 25, 25]",4,"[1, 5, 7, 9]"
"[24, 24, 24, 24, 6]",4,"[2, 3, 7, 9]"
"[6, 24, 24, 24, 24]",5,"[1, 4, 5, 8, 9]"
"[16, 16, 16, 27, 27]",3,"[4, 5, 8]"
"[24, 24, 24, 24, 5]",7,"[0, 2, 4, 5, 6, 8, 9]"
"[5, 24, 24, 24, 24]",3,"[0, 5, 9]"
"[28, 28, 15, 15, 15]",4,"[0, 1, 7, 9]"
"[0, 25, 25, 25, 25]",3,"[0, 5, 7]"
"[12, 22, 22, 22, 22]",8,"[0, 1, 2, 4, 5, 6, 8, 9]"
"[14, 14, 24, 24, 24]",4,"[4, 5, 8, 9]"
"[21, 21, 21, 21, 16]",3,"[1, 5, 9]"
"[20, 20, 20, 20, 20]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[8, 8, 28, 28, 28]",3,"[4, 5, 9]"
"[22, 22, 22, 22, 12]",5,"[0, 1, 4, 5, 9]"
"[16, 21, 21, 21, 21]",3,"[0, 1, 4]"
"[15, 15, 15, 27, 27]",3,"[2, 7, 9]"
"[15, 21, 21, 21, 21]",3,"[1, 5, 9]"
"[11, 22, 22, 22, 22]",7,"[0, 1, 2, 4, 5, 8, 9]"
"[17, 17, 17, 24, 24]",4,"[0, 4, 8, 9]"
"[27, 27, 15, 15, 15]",5,"[2, 4, 5, 7, 9]"
"[24, 24, 24, 24, 3]",5,"[3, 4, 5, 6, 7]"
"[24, 24, 17, 17, 17]",3,"[1, 8, 9]"
"[22, 22, 22, 22, 11]",3,"[2, 5, 9]"
"[14, 21, 21, 21, 21]",3,"[1, 5, 9]"
"[23, 23, 23, 23, 6]",3,"[1, 6, 9]"
"[24, 24, 24, 13, 13]",5,"[1, 4, 5, 8, 9]"
"[6, 23, 23, 23, 23]",4,"[0, 1, 4, 8]"
